date,co2,date_seas_adj,co2_seas_adj,date_fit,co2_fit,date_seas_adj_fit,co2_seas_adj_fit
1958.20273972603,315.71,1958.20273972603,314.44,1958.20273972603,316.19,1958.20273972603,314.91
1958.28767123288,317.45,1958.28767123288,315.16,1958.28767123288,317.3,1958.28767123288,314.99
1958.3698630137,317.51,1958.3698630137,314.71,1958.3698630137,317.86,1958.3698630137,315.06
1958.53698630137,315.86,1958.53698630137,315.2,1958.45479452055,317.24,1958.45479452055,315.14
1958.62191780822,314.93,1958.62191780822,316.2,1958.53698630137,315.85,1958.53698630137,315.21
1958.70684931507,313.21,1958.70684931507,316.09,1958.62191780822,313.98,1958.62191780822,315.29
1958.87397260274,313.33,1958.87397260274,315.2,1958.70684931507,312.45,1958.70684931507,315.35
1958.95616438356,314.67,1958.95616438356,315.43,1958.78904109589,312.44,1958.78904109589,315.4
1959.04109589041,315.58,1959.04109589041,315.53,1958.87397260274,313.61,1958.87397260274,315.46
1959.12602739726,316.49,1959.12602739726,315.85,1958.95616438356,314.76,1958.95616438356,315.51
1959.20273972603,316.65,1959.20273972603,315.37,1959.04109589041,315.63,1959.04109589041,315.57
1959.28767123288,317.72,1959.28767123288,315.42,1959.12602739726,316.28,1959.12602739726,315.63
1959.3698630137,318.29,1959.3698630137,315.48,1959.20273972603,316.98,1959.20273972603,315.69
1959.45479452055,318.15,1959.45479452055,316.02,1959.28767123288,318.08,1959.28767123288,315.76
1959.53698630137,316.54,1959.53698630137,315.87,1959.3698630137,318.65,1959.3698630137,315.84
1959.62191780822,314.8,1959.62191780822,316.08,1959.45479452055,318.04,1959.45479452055,315.93
1959.70684931507,313.84,1959.70684931507,316.73,1959.53698630137,316.66,1959.53698630137,316.02
1959.78904109589,313.34,1959.78904109589,316.32,1959.62191780822,314.81,1959.62191780822,316.12
1959.87397260274,314.81,1959.87397260274,316.69,1959.70684931507,313.31,1959.70684931507,316.21
1959.95616438356,315.58,1959.95616438356,316.35,1959.78904109589,313.32,1959.78904109589,316.3
1960.04098360656,316.43,1960.04098360656,316.38,1959.87397260274,314.53,1959.87397260274,316.39
1960.12568306011,316.98,1960.12568306011,316.34,1959.95616438356,315.72,1959.95616438356,316.47
1960.20491803279,317.58,1960.20491803279,316.27,1960.04098360656,316.61,1960.04098360656,316.55
1960.28961748634,319.03,1960.28961748634,316.7,1960.12568306011,317.28,1960.12568306011,316.63
1960.37158469945,320.04,1960.37158469945,317.22,1960.20491803279,318.03,1960.20491803279,316.71
1960.45628415301,319.59,1960.45628415301,317.47,1960.28961748634,319.14,1960.28961748634,316.79
1960.53825136612,318.18,1960.53825136612,317.53,1960.37158469945,319.68,1960.37158469945,316.86
1960.62295081967,315.9,1960.62295081967,317.21,1960.45628415301,319.02,1960.45628415301,316.92
1960.70765027322,314.17,1960.70765027322,317.08,1960.53825136612,317.59,1960.53825136612,316.97
1960.78961748634,313.83,1960.78961748634,316.83,1960.62295081967,315.67,1960.62295081967,317.01
1960.87431693989,315,1960.87431693989,316.88,1960.70765027322,314.11,1960.70765027322,317.04
1960.95628415301,316.19,1960.95628415301,316.96,1960.78961748634,314.09,1960.78961748634,317.07
1961.04109589041,316.89,1961.04109589041,316.84,1960.87431693989,315.25,1960.87431693989,317.11
1961.12602739726,317.7,1961.12602739726,317.06,1960.95628415301,316.39,1960.95628415301,317.15
1961.20273972603,318.54,1961.20273972603,317.25,1961.04109589041,317.26,1961.04109589041,317.2
1961.28767123288,319.48,1961.28767123288,317.16,1961.12602739726,317.91,1961.12602739726,317.26
1961.3698630137,320.58,1961.3698630137,317.75,1961.20273972603,318.63,1961.20273972603,317.33
1961.45479452055,319.77,1961.45479452055,317.63,1961.28767123288,319.75,1961.28767123288,317.41
1961.53698630137,318.56,1961.53698630137,317.89,1961.3698630137,320.32,1961.3698630137,317.5
1961.62191780822,316.79,1961.62191780822,318.08,1961.45479452055,319.71,1961.45479452055,317.59
1961.70684931507,314.99,1961.70684931507,317.9,1961.53698630137,318.32,1961.53698630137,317.67
1961.78904109589,315.31,1961.78904109589,318.32,1961.62191780822,316.44,1961.62191780822,317.76
1961.87397260274,316.1,1961.87397260274,317.99,1961.70684931507,314.91,1961.70684931507,317.84
1961.95616438356,317.01,1961.95616438356,317.78,1961.78904109589,314.92,1961.78904109589,317.92
1962.04109589041,317.94,1962.04109589041,317.89,1961.87397260274,316.12,1961.87397260274,317.99
1962.12602739726,318.55,1962.12602739726,317.9,1961.95616438356,317.3,1961.95616438356,318.05
1962.20273972603,319.68,1962.20273972603,318.39,1962.04109589041,318.18,1962.04109589041,318.12
1962.28767123288,320.57,1962.28767123288,318.24,1962.12602739726,318.84,1962.12602739726,318.19
1962.3698630137,321.02,1962.3698630137,318.18,1962.20273972603,319.56,1962.20273972603,318.25
1962.45479452055,320.62,1962.45479452055,318.47,1962.28767123288,320.66,1962.28767123288,318.32
1962.53698630137,319.61,1962.53698630137,318.94,1962.3698630137,321.22,1962.3698630137,318.38
1962.62191780822,317.4,1962.62191780822,318.7,1962.45479452055,320.58,1962.45479452055,318.44
1962.70684931507,316.24,1962.70684931507,319.17,1962.53698630137,319.15,1962.53698630137,318.5
1962.78904109589,315.42,1962.78904109589,318.44,1962.62191780822,317.23,1962.62191780822,318.55
1962.87397260274,316.69,1962.87397260274,318.59,1962.70684931507,315.66,1962.70684931507,318.6
1962.95616438356,317.7,1962.95616438356,318.48,1962.78904109589,315.63,1962.78904109589,318.64
1963.04109589041,318.74,1963.04109589041,318.69,1962.87397260274,316.8,1962.87397260274,318.68
1963.12602739726,319.07,1963.12602739726,318.42,1962.95616438356,317.95,1962.95616438356,318.71
1963.20273972603,319.86,1963.20273972603,318.57,1963.04109589041,318.82,1963.04109589041,318.76
1963.28767123288,321.38,1963.28767123288,319.05,1963.12602739726,319.46,1963.12602739726,318.81
1963.3698630137,322.25,1963.3698630137,319.4,1963.20273972603,320.16,1963.20273972603,318.85
1963.45479452055,321.48,1963.45479452055,319.32,1963.28767123288,321.26,1963.28767123288,318.91
1963.53698630137,319.74,1963.53698630137,319.06,1963.3698630137,321.81,1963.3698630137,318.96
1963.62191780822,317.77,1963.62191780822,319.06,1963.45479452055,321.15,1963.45479452055,319.01
1963.70684931507,316.21,1963.70684931507,319.14,1963.53698630137,319.7,1963.53698630137,319.05
1963.78904109589,315.99,1963.78904109589,319.02,1963.62191780822,317.77,1963.62191780822,319.1
1963.87397260274,317.07,1963.87397260274,318.97,1963.70684931507,316.19,1963.70684931507,319.14
1963.95616438356,318.35,1963.95616438356,319.13,1963.78904109589,316.16,1963.78904109589,319.18
1964.04098360656,319.57,1964.04098360656,319.52,1963.87397260274,317.34,1963.87397260274,319.22
1964.37158469945,322.25,1964.37158469945,319.4,1963.95616438356,318.51,1963.95616438356,319.27
1964.45628415301,321.89,1964.45628415301,319.75,1964.04098360656,319.38,1964.04098360656,319.32
1964.53825136612,320.44,1964.53825136612,319.79,1964.12568306011,320.02,1964.12568306011,319.36
1964.62295081967,318.69,1964.62295081967,320.02,1964.20491803279,320.74,1964.20491803279,319.41
1964.70765027322,316.71,1964.70765027322,319.66,1964.28961748634,321.83,1964.28961748634,319.45
1964.78961748634,316.87,1964.78961748634,319.91,1964.37158469945,322.34,1964.37158469945,319.49
1964.87431693989,317.68,1964.87431693989,319.59,1964.45628415301,321.65,1964.45628415301,319.52
1964.95628415301,318.71,1964.95628415301,319.49,1964.53825136612,320.18,1964.53825136612,319.55
1965.04109589041,319.44,1965.04109589041,319.39,1964.62295081967,318.22,1964.62295081967,319.58
1965.12602739726,320.44,1965.12602739726,319.79,1964.70765027322,316.63,1964.70765027322,319.6
1965.20273972603,320.89,1965.20273972603,319.59,1964.78961748634,316.59,1964.78961748634,319.62
1965.28767123288,322.14,1965.28767123288,319.78,1964.87431693989,317.75,1964.87431693989,319.63
1965.3698630137,322.17,1965.3698630137,319.3,1964.95628415301,318.89,1964.95628415301,319.65
1965.45479452055,321.87,1965.45479452055,319.7,1965.04109589041,319.74,1965.04109589041,319.68
1965.53698630137,321.21,1965.53698630137,320.52,1965.12602739726,320.38,1965.12602739726,319.72
1965.62191780822,318.87,1965.62191780822,320.17,1965.20273972603,321.08,1965.20273972603,319.77
1965.70684931507,317.82,1965.70684931507,320.77,1965.28767123288,322.2,1965.28767123288,319.83
1965.78904109589,317.3,1965.78904109589,320.35,1965.3698630137,322.77,1965.3698630137,319.9
1965.87397260274,318.87,1965.87397260274,320.78,1965.45479452055,322.15,1965.45479452055,320
1965.95616438356,319.42,1965.95616438356,320.2,1965.53698630137,320.75,1965.53698630137,320.1
1966.04109589041,320.62,1966.04109589041,320.57,1965.62191780822,318.87,1965.62191780822,320.21
1966.12602739726,321.6,1966.12602739726,320.94,1965.70684931507,317.35,1965.70684931507,320.32
1966.20273972603,322.39,1966.20273972603,321.08,1965.78904109589,317.39,1965.78904109589,320.43
1966.28767123288,323.7,1966.28767123288,321.34,1965.87397260274,318.65,1965.87397260274,320.55
1966.3698630137,324.08,1966.3698630137,321.2,1965.95616438356,319.89,1965.95616438356,320.66
1966.45479452055,323.75,1966.45479452055,321.57,1966.04109589041,320.84,1966.04109589041,320.78
1966.53698630137,322.38,1966.53698630137,321.69,1966.12602739726,321.56,1966.12602739726,320.9
1966.62191780822,320.36,1966.62191780822,321.67,1966.20273972603,322.33,1966.20273972603,321.01
