date_hr,co2_hr,date_dy,co2_dy
2022.26029490107,418.53,2022.26164383562,419.84
2022.26032724505,418.51,2022.26438356164,420.41
2022.26037100457,418.56,2022.27260273973,418.69
2022.26041856925,418.59,2022.27534246575,418.6
2022.26046042618,418.57,2022.27808219178,419.35
2022.26049657534,418.7,2022.28082191781,420.48
2022.26053652968,418.62,2022.28356164384,420.26
2022.26057458143,418.79,2022.28630136986,420.21
2022.26060692542,418.75,2022.28904109589,421.31
2022.26064878234,418.93,2022.29178082192,420.56
2022.26068873668,418.9,2022.29452054795,420.49
2022.26072108067,419.12,2022.29726027397,420.65
2022.26076484018,419.27,2022.3,420.24
2022.26080289193,419.52,2022.30273972603,420.25
2022.26083523592,419.5,2022.30547945205,419.44
2022.26090563166,419.5,2022.30821917808,419.36
2022.26101788432,419.48,2022.31095890411,420.21
2022.2610369102,419.33,2022.31369863014,421.14
2022.26105022831,419.4,2022.32465753425,419.42
2022.26112633181,419.23,2022.32739726027,419.29
2022.26115106545,419.17,2022.3301369863,419.92
2022.26116248097,419.22,2022.33287671233,420.34
2022.26124048706,419.19,2022.33561643836,420.11
2022.2612652207,419.1,2022.33835616438,420
2022.26127853881,419.25,2022.34109589041,419.27
2022.26132229833,418.85,2022.34383561644,418.94
2022.26135464231,418.98,2022.34657534247,419.06
2022.26139840183,419.11,2022.34931506849,419.39
2022.26144596651,419.2,2022.35205479452,419.88
2022.26148782344,419.11,2022.35479452055,420.95
2022.2615239726,419.39,2022.35753424658,421.37
2022.26156392694,419.46,NaN,NaN
2022.26160197869,419.79,NaN,NaN
2022.26163432268,419.82,NaN,NaN
2022.2616761796,419.62,NaN,NaN
2022.26171613394,419.86,NaN,NaN
2022.26174847793,420.1,NaN,NaN
2022.26179223744,420.09,NaN,NaN
2022.26183028919,420.05,NaN,NaN
2022.26186263318,420.24,NaN,NaN
2022.26193302892,420.13,NaN,NaN
2022.26203957382,419.7,NaN,NaN
2022.26206430746,420.01,NaN,NaN
2022.26207762557,420.13,NaN,NaN
2022.26215372907,420.47,NaN,NaN
2022.26217846271,420.37,NaN,NaN
2022.26218987823,420.59,NaN,NaN
2022.26226788432,420.21,NaN,NaN
2022.26229261796,420.24,NaN,NaN
2022.26230593607,420.23,NaN,NaN
2022.26238203957,420.16,NaN,NaN
2022.26240677321,420.17,NaN,NaN
2022.26242009132,420.26,NaN,NaN
2022.26249619482,420.24,NaN,NaN
2022.26252092846,420.51,NaN,NaN
2022.26253234399,420.49,NaN,NaN
2022.26261225266,420.54,NaN,NaN
2022.26262747336,420.46,NaN,NaN
2022.26265030441,420.25,NaN,NaN
2022.26272640791,420.76,NaN,NaN
2022.26274162862,420.6,NaN,NaN
2022.26276255708,420.71,NaN,NaN
2022.26284056317,420.61,NaN,NaN
2022.26285388128,420.65,NaN,NaN
2022.26287861492,420.68,NaN,NaN
2022.26295471842,420.67,NaN,NaN
2022.26296993912,420.6,NaN,NaN
2022.26299277017,420.67,NaN,NaN
2022.26303462709,420.57,NaN,NaN
2022.26306887367,420.57,NaN,NaN
2022.26310502283,420.5,NaN,NaN
2022.26320205479,420.44,NaN,NaN
2022.26323630137,420.45,NaN,NaN
2022.26327625571,420.48,NaN,NaN
2022.26331621005,421.21,NaN,NaN
2022.26334665145,421.47,NaN,NaN
2022.26339231355,421.27,NaN,NaN
2022.2634303653,420.74,NaN,NaN
2022.2634608067,420.69,NaN,NaN
2022.2635064688,420.76,NaN,NaN
2022.26354452055,420.67,NaN,NaN
2022.26357496195,420.71,NaN,NaN
2022.26361872146,420.57,NaN,NaN
2022.26375380517,420.79,NaN,NaN
2022.26376902588,420.65,NaN,NaN
