# This file contains CO2 data from ice cores up to and including 1957. This is a subset of ice core data served via CSIRO.
#
# Title of the full data set:
# Law Dome Ice Core 2000-Year CO2, CH4, N2O and d13C-CO2
#
# Citation
# Rubino, Mauro; Etheridge, David; Thornton, David; Allison, Colin; Francey, Roger; Langenfelds, Ray; Steele, Paul; Trudinger, Cathy; Spencer, Darren; Curran, Mark; Van Ommen, Tas; Smith, Andrew (2019): Law Dome Ice Core 2000-Year CO2, CH4, N2O and d13C-CO2. v1. CSIRO. Data Collection. https://doi.org/10.25919/5bfe29ff807fb
#
# Data sourced from CSIRO: https://data.csiro.au/
#
# CSIRO Data Licence
# This licence allows user to use the data for non-commercial purposes with appropriate attribution. The rights granted under this licence are personal to the user and not capable of assignment. Data cannot be distributed nor have any intellectual property rights asserted over the data. CSIRO must not be represented as being responsible for the accuracy, correctness of the data or for any output of any application of the data. Nor does CSIRO support or endorse use of the data or any products derived or conclusions or predictions drawn from this data.
#
# CSIRO Licence Deed: https://confluence.csiro.au/display/dap/CSIRO+Data+Licence
date_ce, co2
 154.00, 278.20
 175.00, 277.70
 241.00, 280.40
 266.00, 278.40
 274.00, 280.20
 296.00, 281.00
 318.00, 281.80
 357.00, 277.90
 384.00, 277.40
 406.00, 279.30
 437.00, 280.10
 488.00, 277.20
 518.00, 276.90
 552.00, 276.70
 557.00, 278.50
 582.00, 276.30
 615.00, 278.00
 637.00, 279.70
 669.00, 278.60
 701.00, 277.20
 730.00, 280.10
 762.00, 279.30
 793.00, 279.80
 822.00, 278.80
 875.00, 279.60
 914.00, 280.20
 958.00, 277.50
 983.00, 278.90
1018.00, 279.90
1019.00, 280.00
1040.00, 281.00
1049.00, 281.00
1070.00, 283.00
1099.00, 283.00
1116.00, 283.00
1146.00, 284.40
1166.00, 284.10
1200.00, 284.40
1211.00, 283.80
1251.00, 282.30
1260.00, 282.30
1278.00, 278.60
1307.00, 281.70
1330.00, 284.00
1349.00, 278.50
1390.00, 280.70
1390.00, 281.10
1411.00, 279.80
1429.00, 279.90
1449.00, 282.40
1469.00, 280.20
1502.00, 283.10
1530.00, 283.80
1550.00, 283.50
1560.00, 282.00
1573.00, 282.50
1588.00, 281.20
1591.00, 279.40
1603.00, 275.10
1609.00, 271.20
1629.00, 273.90
1640.00, 276.80
1649.00, 278.00
1682.00, 276.70
1690.00, 276.50
1694.00, 277.40
1703.00, 275.00
1710.00, 276.30
1719.00, 276.40
1723.00, 277.10
1723.00, 278.30
1734.00, 278.40
1741.00, 276.90
1746.00, 275.40
1749.00, 277.60
1752.00, 278.00
1752.00, 276.60
1760.00, 276.60
1763.00, 277.20
1764.00, 276.50
1773.00, 278.00
1775.00, 277.70
1779.00, 280.20
1780.00, 273.20
1794.00, 281.80
1796.00, 279.40
1796.00, 279.30
1796.00, 282.30
1799.00, 284.40
1799.00, 281.40
1810.00, 281.10
1814.00, 284.60
1817.00, 280.90
1825.00, 281.50
1826.00, 281.80
1827.00, 285.90
1833.00, 284.00
1833.00, 285.10
1837.00, 284.30
1838.00, 282.60
1841.00, 283.60
1842.00, 282.80
1843.00, 282.70
1844.00, 282.00
1844.00, 280.80
1845.00, 283.00
1845.00, 283.40
1846.00, 282.90
1846.00, 284.50
1847.00, 286.80
1848.00, 283.60
1851.00, 285.50
1851.00, 288.90
1851.00, 283.90
1852.00, 284.00
1854.00, 288.10
1855.00, 283.30
1855.00, 285.60
1857.00, 283.00
1859.00, 284.90
1859.00, 286.80
1862.00, 287.20
1863.00, 285.50
1863.00, 283.00
1864.00, 286.50
1867.00, 284.80
1867.00, 285.50
1868.00, 288.10
1869.00, 288.80
1869.00, 288.20
1870.00, 286.20
1870.00, 288.00
1873.00, 286.70
1874.00, 291.60
1877.00, 289.20
1880.00, 287.60
1883.00, 292.50
1884.00, 289.40
1884.00, 289.90
1886.00, 288.20
1887.00, 289.90
1887.00, 290.40
1887.00, 291.10
1888.00, 294.30
1889.00, 292.50
1889.00, 292.40
1890.00, 290.80
1893.00, 293.90
1893.00, 295.30
1893.00, 295.20
1894.00, 291.90
1894.00, 293.90
1894.00, 292.20
1897.00, 293.30
1897.00, 292.00
1897.00, 291.80
1897.00, 294.50
1897.00, 294.70
1897.00, 297.30
1897.00, 291.90
1899.00, 297.10
1899.00, 295.30
1900.00, 294.10
1902.00, 295.30
1902.00, 294.50
1902.00, 297.10
1904.00, 296.10
1906.00, 297.20
1906.00, 299.50
1906.00, 298.90
1907.00, 295.40
1909.00, 301.60
1910.00, 297.70
1911.00, 298.30
1911.00, 296.70
1911.00, 298.00
1913.00, 301.30
1915.00, 301.10
1915.00, 300.40
1916.00, 301.90
